Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
زوال,فروپاشی,0,1,1,0,0,1,1
زیاد,بسیار,0,1,1,0,0,1,1
سابقه,پیشینه,0,1,1,0,0,1,1
ساحت,پیشگاه,0,1,1,0,0,1,1
ساده لوح,ساده اندیش,0,1,1,0,0,1,1
ساقط,سرنگون,0,1,1,0,0,1,1
سالم,تن درست,0,1,1,0,0,1,1
سایرین,دیگران,0,1,1,0,0,1,1
سجاده,جانماز,0,1,1,0,0,1,1
سعادت,رستگاری,0,1,1,0,0,1,1
سلسله اشکانی,دودمان اشکانی,0,1,1,0,0,1,1
سلسله جبال,رشته کوه ها,0,1,1,0,0,1,1
سمبلیک,نمادین,0,1,1,0,0,1,1
سمعی بصری,دیداری شنیداری,0,1,1,0,0,1,1
سمینار,هم اندیشی,0,1,1,0,0,1,1
سوء ظن,بدگمانی,0,1,1,0,0,1,1
سوء رفتار,بدرفتاری,0,1,1,0,0,1,1
سه ضربدر چهار,سه در چهار,0,1,1,0,0,1,1
سهل الوصول,آسان یاب,0,1,1,0,0,1,1
شاعر,سراینده,0,1,1,0,0,1,1
شامل,در برگیرنده,0,1,1,0,0,1,1
شانس,بخت,0,1,1,0,0,1,1
شاهد,گواه,0,1,1,0,0,1,1
خلاف کار,تبه کار,0,1,1,0,0,1,1
خلف وعده,پیمان شکنی,0,1,1,0,0,1,1
دشنه,خنجر,0,1,1,0,0,1,1
خواص,نخبگان ,0,1,1,0,0,1,1
خود مختار,خودگردان,0,1,1,0,0,1,1
خیر مقدم,خوشامد,0,1,1,0,0,1,1
دائرة المعارف,دانش نامه,0,1,1,0,0,1,1
در اسرع قت,هر چه زودتر,0,1,1,0,0,1,1
در انظار عمومی,پیش دید همگان,0,1,1,0,0,1,1
در این ارتباط,در این باره,0,1,1,0,0,1,1
در حال توسعه,رو به پیشرفت,0,1,1,0,0,1,1
در حال حاضر,هم اکنون,0,1,1,0,0,1,1
در حقیقت,به راستی,0,1,1,0,0,1,1
